,Balance_Total,Balance_Goods,Balance_Services,Exports_Total,Exports_Goods,Exports_Services,Imports_Total,Imports_Goods,Imports_Services
  Period,Total,Goods,Services,Total,Goods,Services,Total,Goods,Services
April,33965,-38648,4683,82072,58365,23707,116036,97013,19024
May,34026,-39212,5186,82427,58224,24203,116453,97437,19017
June,34732,-39676,4944,83564,59245,24318,118296,98922,19374
July,33912,-38691,4779,83724,59580,24144,117636,98271,19365
August,36385,-41136,4751,83689,59622,24067,120075,100759,19316
September,36088,-41176,5088,83487,59249,24238,119575,100425,19150
October,35094,-39487,4393,82768,58438,24330,117861,97925,19937
November,39516,-43801,4285,83919,59307,24612,123435,103108,20327
December,43608,-47290,3682,81578,57211,24367,125186,104501,20685
2003,0,,,,,,,,
Jan. - Dec.,496242,-541643,45401,1028186,730446,297740,1524428,1272089,252340
January,41156,-44682,3526,82513,58689,23824,123668,103370,20298
February,40081,-43453,3372,83095,59387,23708,123176,102839,20336
March,43807,-47086,3279,83156,59473,23683,126963,106559,20404
April,42036,-45665,3629,82566,58792,23773,124602,104457,20145
May,41045,-45108,4063,82630,58811,23819,123676,103919,19756
June,39697,-43897,4200,85173,60936,24237,124870,104833,20037
July,41321,-44941,3620,85944,61205,24739,127264,106146,21118
August,39892,-43611,3719,84905,59729,25176,124797,103341,21457
September,41842,-45611,3769,86969,61406,25563,128811,107017,21794
October,41388,-45370,3982,88890,62858,26032,130278,108228,22050
November,39898,-44024,4126,91322,64991,26332,131220,109015,22205
December,44079,-48195,4116,91024,64169,26855,135103,112364,22739
2004,0,,,,,,,,
Jan. - Dec.,610837,-664764,53927,1168120,823584,344536,1778957,1488348,290609
January,44645,-48867,4222,90564,63243,27321,135209,112111,23099
February,44551,-49026,4475,94131,66443,27689,138683,115469,23214
March,46754,-51543,4789,96707,68474,28233,143461,120017,23444
April,47284,-52183,4899,96398,67810,28588,143682,119993,23689
May,47552,-52559,5007,98197,69480,28717,145749,122039,23710
June,54169,-58940,4771,95773,67025,28747,149941,125965,23976
July,51606,-56104,4498,96907,68510,28397,148513,124614,23899
August,53647,-56934,3287,97295,68980,28316,150942,125914,25028
September,51685,-55895,4210,98782,70139,28643,150468,126035,24433
October,55057,-59561,4504,100494,70934,29560,155552,130495,25057
November,58967,-63496,4529,100090,70147,29943,159057,133643,25414
December,54918,-59655,4737,102781,72398,30382,157699,132053,25646
2005,0,,,,,,,,
Jan. - Dec.,716543,-782805,66262,1291503,913016,378487,2008046,1695821,312225
January,56188,-61181,4993,103206,72679,30527,159395,133860,25535
February,58095,-63447,5352,104010,73198,30812,162104,136644,25460
March,53134,-58949,5815,105098,73719,31379,158231,132668,25563
April,57312,-62621,5309,107268,76407,30861,164580,139028,25552
May,56040,-61686,5646,107079,75785,31294,163120,137471,25649
June,58152,-63601,5449,107033,75759,31274,165185,139360,25825
July,58302,-63344,5042,107082,75955,31127,165383,139298,26084
August,58745,-63929,5184,108475,77129,31346,167220,141058,26161
September,64883,-70530,5647,107156,75332,31824,172039,145862,26177
October,67265,-73179,5914,109813,77433,32380,177078,150612,26466
November,63860,-69822,5962,111462,78840,32621,175321,148662,26659
December,64569,-70517,5948,113822,80780,33042,178391,151297,27094
2006,0,,,,,,,,
Jan. - Dec.,763532,-837288,73756,1463992,1040906,423086,2227524,1878194,349329
January,66967,-72871,5904,115831,81985,33846,182797,154855,27942
February,62309,-67494,5185,116871,82943,33928,179180,150437,28743
March,62397,-68017,5620,118821,84745,34075,181217,152762,28455
April,62602,-68707,6105,119611,84593,35018,182213,153300,28913
May,64818,-71283,6465,121155,85841,35314,185973,157124,28849
June,63799,-69728,5929,122726,87739,34987,186526,157467,29058
July,66909,-72687,5778,120430,85676,34754,187339,158362,28977
August,68276,-74214,5938,122780,87952,34828,191057,162167,28890
September,65095,-71279,6184,124052,88736,35316,189146,160015,29132
October,59539,-65954,6415,125532,89373,36160,185072,155327,29745
November,58938,-65795,6857,127388,90349,37039,186327,156144,30183
December,61882,-69259,7377,128795,90975,37820,190677,160234,30443
2007,0,,,,,,,,
Jan. - Dec.,710999,-821198,110199,1660813,1165150,495664,2371812,1986347,385464
January,58013,-65775,7762,130648,92195,38453,188661,157970,30691
February,58479,-66380,7901,129481,90572,38910,187960,156951,31009
March,62184,-70645,8461,133835,94036,39799,196018,164681,31337
April,60495,-68670,8175,133351,93671,39680,193845,162341,31504
May,59572,-67895,8323,135835,95704,40131,195406,163598,31808
June,59998,-68736,8738,137312,96544,40768,197310,165280,32030
July,60247,-69198,8951,138546,97080,41466,198792,166277,32515
August,57214,-67060,9846,141519,98850,42668,198733,165910,32822
September,58160,-67715,9555,142069,99722,42348,200228,167436,32792
October,57666,-68299,10633,144525,101170,43355,202191,169469,32722
November,60683,-71741,11058,146264,102239,44025,206947,173980,32967
December,58291,-69085,10794,147428,103367,44061,205719,172452,33267
2008,0,,,,,,,,
Jan. - Dec.,712351,-832493,120142,1849585,1308794,540791,2561937,2141287,420650
January,61338,-71649,10311,151094,106639,44455,212433,178288,34144
February,64225,-74110,9885,153660,109140,44520,217886,183251,34635
March,60200,-70918,10718,152900,107934,44966,213100,178852,34248
April,63732,-74314,10582,157363,112208,45155,221095,186522,34573
May,62310,-73868,11558,159081,112971,46110,221392,186839,34553
June,60889,-72286,11397,164072,117785,46288,224962,190071,34891
July,66989,-77628,10639,166232,120156,46075,233221,197784,35437
August,62395,-71541,9146,163335,117826,45509,225729,189367,36363
September,60293,-70456,10163,154611,109228,45383,214904,179683,35221
October,60879,-70138,9259,151854,106639,45215,212732,176777,35955
November,45132,-53601,8469,142973,99102,43871,188105,152703,35402
December,43967,-51983,8016,132410,89166,43244,176377,141150,35228
2009,0,,,,,,,,
Jan. - Dec.,394772,-509695,114923,1592791,1070330,522461,1987563,1580025,407538
January,39342,-47164,7822,125859,83706,42153,165201,130870,34331
February,28778,-37359,8581,127893,86043,41849,156671,123402,33269
March,30193,-38976,8783,126478,84462,42016,156670,123437,33233
April,30474,-39545,9071,125323,82579,42744,155797,122124,33672
May,25840,-35596,9756,127342,84534,42808,153181,120129,33052
June,27152,-36844,9692,129796,86944,42852,156947,123787,33160
July,33308,-42839,9531,131878,88737,43141,165185,131576,33609
August,31673,-41815,10142,132567,88801,43766,164240,130616,33624
September,35247,-45296,10049,137047,92743,44304,172294,138038,34255
October,34960,-45351,10391,141055,95836,45220,176014,141186,34828
November,38381,-49072,10691,142075,96259,45816,180456,145331,35125
December,39427,-49840,10413,145480,99687,45793,184906,149527,35379
2010,0,,,,,,,,
Jan. - Dec.,503090,-648674,145584,1872318,1290278,582041,2375408,1938952,436456
January,37744,-49076,11332,145718,99243,46475,183463,148319,35143
February,41504,-52019,10515,146849,100546,46303,188353,152565,35788
March,40270,-51549,11279,151080,104491,46590,191351,156040,35311
April,41497,-52441,10944,150006,103405,46601,191502,155845,35657
May,42089,-53596,11507,153819,106545,47273,195907,160141,35766
June,47315,-59091,11776,153326,105364,47962,200641,164455,36186
July,41609,-53416,11807,156763,108197,48567,198373,161613,36760
August,45619,-58128,12509,157769,108331,49438,203388,166459,36929
September,44334,-57298,12964,158624,108638,49986,202958,165935,37023
October,40647,-53716,13069,164234,113684,50550,204881,167400,37481
November,38739,-52385,13646,165621,114639,50982,204360,167024,37336
December,41721,-55959,14238,168510,117196,51314,210232,173155,37077
2011,0,,,,,,,,
Jan. - Dec. ,554522,-740999,186477,2143551,1498886,644665,2698074,2239885,458188
January ,48123,-62609,14486,169897,118563,51334,218020,181172,36848
February ,44752,-59701,14949,168665,117018,51647,213418,176720,36698
March ,44313,-59756,15443,176676,124039,52637,220988,183794,37194
April ,42684,-57811,15127,178839,125835,53004,221523,183646,37877
May ,47725,-63078,15353,178856,125031,53826,226581,188108,38473
June ,49882,-65599,15717,176894,122625,54270,226777,188224,38553
July ,46070,-62066,15996,181502,126452,55050,227572,188519,39054
August ,45052,-61924,16872,182475,126475,56000,227527,188399,39128
September,43477,-59834,16357,183858,128738,55120,227334,188572,38762
October ,45509,-60867,15358,182681,128747,53934,228191,189615,38576
November ,47461,-62687,15226,180797,127077,53720,228258,189764,38494
December ,49474,-65067,15593,182411,128286,54125,231885,193353,38532
2012,0,,,,,,,,
Jan. - Dec.,525906,-741119,215213,2247453,1562630,684823,2773359,2303749,469610
January,50126,-66735,16609,182425,127345,55080,232551,194081,38471
February,42780,-60195,17415,185085,128801,56285,227865,188995,38869
March,49749,-66971,17222,188511,132015,56496,238260,198986,39274
April,46842,-64077,17235,187092,130538,56554,233934,194615,39319
May,45106,-62589,17483,187375,130724,56651,232481,193313,39168
June,42941,-60415,17474,187247,130717,56530,230188,191132,39056
July,42406,-59723,17317,186714,130145,56570,229120,189868,39252
August,44030,-61109,17079,184999,128352,56648,229029,189461,39568
September,38794,-57416,18622,191182,133580,57602,229976,190996,38980
October,41467,-60545,19078,186133,127616,58517,227600,188161,39440
November,45333,-64668,19335,188461,129697,58765,233794,194364,39430
December,36334,-56678,20344,192226,133100,59126,228560,189778,38783
2013,0,,,,,,,,
Jan. - Dec.,446861,-700539,253678,2313121,1593708,719413,2759982,2294247,465736
January,40135,-60764,20629,190283,131197,59086,230418,191961,38457
February,41004,-61750,20746,192436,133289,59147,233440,195039,38400
March,34314,-55614,21300,189856,130539,59317,224170,186153,38017
April,38487,-58407,19920,190603,131932,58670,229090,190339,38751
May,41701,-62194,20493,189837,130799,59038,231538,192993,38545
June,34426,-55548,21122,192921,133359,59563,227347,188907,38441
July,36356,-57948,21592,192125,132030,60094,228481,189978,38503
August,36617,-58044,21427,192449,132361,60087,229065,190405,38660
September,39917,-61635,21718,192505,131743,60762,232422,193379,39044
October,36285,-57771,21486,196471,135485,60987,232757,193256,39501
November,33983,-55237,21254,197292,136235,61057,231275,191472,39804
December,33636,-55627,21991,196343,134737,61605,229979,190364,39614
2014,0,,,,,,,,
Jan. - Dec.,483952,-749917,265965,2392615,1635563,757051,2876566,2385480,491086
January,37433,-59821,22388,195789,133813,61976,233222,193634,39588
February,40119,-61758,21639,195059,132989,62070,235178,194747,40431
March,42940,-63738,20798,199559,137312,62247,242498,201050,41448
April,43734,-66424,22690,199056,136036,63019,242790,202461,40329
May,39575,-62522,22947,201418,137841,63577,240993,200362,40630
June,38896,-61411,22515,200514,137005,63509,239410,198416,40994
July,38935,-61785,22850,200758,137619,63140,239693,199403,40290
August,36935,-59403,22468,202226,139035,63191,239161,198438,40723
September,41672,-63888,22216,199556,136162,63393,241228,200050,41177
October,41066,-62424,21358,201376,137767,63609,242443,200191,42251
November,39808,-61479,21671,198893,135528,63364,238700,197007,41693
December,42838,-65264,22426,198413,134456,63957,241251,199720,41531
2015,0,,,,,,,,
Jan. - Dec.,491421,-761868,270447,2280041,1511381,768660,2771462,2273249,498213
January ,38871,-62102,23231,194274,130199,64075,233146,192301,40845
February,33888,-57664,23776,191937,127893,64044,225825,185557,40268
March,48699,-72184,23485,192268,127813,64456,240967,199997,40970
April,39853,-62722,22869,193068,129260,63808,232921,191982,40939
May,38574,-61462,22888,191848,127791,64057,230421,189253,41168
June,42514,-65486,22972,191427,127095,64332,233941,192581,41360
July,40395,-62741,22346,190781,126898,63884,231176,189639,41538
August,44270,-66773,22503,188027,123935,64092,232297,190707,41589
September,41711,-63547,21836,189061,125167,63894,230772,188714,42058
October,40955,-62385,21430,187682,123524,64158,228637,185909,42729
November,40575,-62045,21470,185269,121367,63902,225844,183412,42432
December,41117,-62757,21640,184399,120441,63958,225515,183198,42317
2016,0,,,,,,,,
Jan. - Dec.,481475,-749801,268326,2238336,1457392,780944,2719811,2207194,512617
January,40157,-61523,21366,180840,117469,63370,220997,178992,42005
February,43454,-64299,20845,182895,119526,63369,226349,183825,42524
March,36917,-58418,21501,181919,118266,63653,218835,176684,42151
April,38127,-59727,21600,184034,119930,64104,222161,179656,42504
May,39149,-61969,22820,184948,119814,65134,224097,181783,42314
June,41873,-65305,23432,186622,120538,66084,228495,185843,42652
July,40148,-63656,23508,187910,121693,66217,228058,185349,42709
August,40422,-62638,22216,189850,123500,66350,230271,186137,44134
September,37236,-60586,23350,190415,124204,66211,227652,184790,42862
October,38766,-61398,22632,189089,123717,65372,227854,185115,42740
November,44082,-66799,22717,187434,122076,65358,231516,188875,42642
December,41144,-63484,22340,192381,126660,65721,233525,190144,43381
2017,0,,,,,,,,
Jan. - Dec.,512740,-799343,286603,2390779,1557003,833775,2903518,2356346,547172
January,42946,-66075,23129,195303,128035,67268,238248,194109,44139
February,39812,-63669,23857,195839,127877,67961,235650,191546,44104
March,41476,-65152,23676,195880,127668,68212,237356,192819,44536
April,44356,-68125,23769,195851,127059,68792,240208,195184,45023
May,44126,-67210,23084,195404,126534,68871,239531,193744,45787
June,43001,-66176,23175,197631,128312,69319,240633,194489,46144
July,42007,-64922,22915,197812,128268,69544,239820,193190,46629
August,41162,-64494,23332,198638,128791,69847,239800,193285,46515
September,41463,-65397,23934,200747,130227,70520,242211,195624,46587
October,41616,-66411,24795,202584,131740,70843,244199,198151,46048
November,44623,-70189,25566,205999,134755,71245,250623,204944,45679
December,46149,-71522,25373,209091,137738,71353,255241,209260,45980
2018,0,,,,,,,,
Jan. - Dec.,580950,-878749,297799,2538638,1676913,861725,3119588,2555662,563926
January,47056,-73780,26724,206058,134146,71912,253114,207927,45188
February,49149,-75144,25995,208776,136651,72126,257925,211794,46131
March,43981,-70185,26204,213123,140858,72265,257104,211043,46061
April,45106,-69862,24756,213183,141712,71471,258289,211574,46715
May,41185,-66510,25325,216094,144282,71812,257279,210792,46487
June,44871,-69238,24367,213698,142073,71625,258569,211311,47258
July,49513,-74168,24655,211824,140203,71621,261336,214370,46966
August,49738,-74793,25055,211054,139186,71868,260791,213979,46813
September,51774,-76229,24455,212793,140901,71892,264566,217130,47436
October,52344,-75981,23637,213861,142148,71712,266206,218130,48076
November,50547,-73808,23261,210383,138676,71707,260930,212484,48446
December,55686,-79052,23366,207793,136077,71716,263480,215130,48350
2019,0,,,,,,,,
Jan. - Dec.,576341,-861515,285174,2528367,1652072,876295,3104708,2513587,591121
January,48818,-72422,23604,209087,137716,71371,257905,210138,47768
February,48032,-71831,23799,210133,138255,71878,258165,210086,48079
March,49777,-73355,23578,213813,141183,72630,263590,214538,49052
April,50074,-73654,23580,210289,137284,73005,260363,210937,49425
May,51903,-76423,24520,213973,139993,73980,265877,216416,49461
June,50390,-74285,23895,210575,136744,73831,260965,211029,49936
July,49960,-73237,23277,211469,138532,72937,261428,211768,49660
August,50389,-73758,23369,210474,137434,73040,260862,211192,49671
September,48262,-71377,23115,208776,135806,72970,257037,207183,49854
October,42720,-67038,24318,210157,136299,73857,252877,203338,49539
November,40596,-64945,24349,209739,136127,73611,250335,201072,49263
December,45422,-69191,23769,209883,136699,73184,255304,205889,49415
2020,0,,,,,,,,
Jan. - Dec.,676684,-922026,245342,2134441,1428798,705643,2811125,2350825,460301
January,45452,-67839,22387,205091,135567,69524,250543,203406,47137
February,41639,-63702,22063,204819,135701,69118,246458,199403,47055
March,47157,-68718,21561,187490,126875,60615,234647,195594,39053
April,52959,-74616,21657,150074,95025,55049,203033,169641,33392
May,54916,-76652,21736,146108,91051,55056,201023,167703,33320
June,50675,-72004,21329,158805,103702,55103,209480,175706,33774
July,60743,-80792,20049,170908,115880,55028,231651,196672,34979
August,63733,-82966,19233,174287,118981,55306,238020,201947,36073
September,62626,-81613,18987,178063,121965,56099,240689,203577,37111
October,63677,-82127,18450,182732,125761,56971,246410,207888,38522
November,67307,-86227,18920,185186,126789,58397,252494,213017,39477
December,65801,-84770,18969,190877,131500,59377,256678,216270,40408
2021,0,,,,,,,,
Jan. - Dec.,428573,-537635,109062,1203294,845216,358078,1631868,1382852,249016
January,67092,-86444,19352,193221,134486,58735,260313,220930,39383
February,70642,-89155,18513,188561,130436,58125,259203,219591,39612
March,75025,-92859,17834,202669,143658,59011,277693,236516,41177
April,69071,-86873,17802,204704,145088,59615,273775,231961,41814
May,70995,-89132,18137,206468,145636,60832,277462,234768,42695
June,75749,-93174,17425,207672,145912,61760,283421,239086,44335
July,,,,,,,,,
August,,,,,,,,,
September,,,,,,,,,
October,,,,,,,,,
November,,,,,,,,,
December,,,,,,,,,
